SimPeriod,SDELTA,FRANKS,CACHE,SDWS,USAC,LSAC,EAST,STOCKTON,MSJR,LSJR,MONTZ,ESUISUN,WSUISUN,MILDRED,CLIFTON
03JUN1922,11.71875,68.0,170.66666666666666,-1.0,4.35,14.75,28.90625,39.910714285714285,78.86363636363636,45.7,227.83333333333334,17.5,7.208333333333333,72.83823529411765,14.557692307692308
03JUL1922,29.90625,42.94230769230769,178.58333333333334,-1.0,7.75,29.6,20.9375,99.82142857142857,143.9318181818182,139.85,28.75,22.05,4.333333333333333,45.51470588235294,7.923076923076923
03AUG1922,46.875,35.57692307692308,16.833333333333332,-1.0,8.4,21.4,19.65625,194.78571428571428,137.61363636363637,126.45,29.25,28.0,4.25,37.338235294117645,8.0
03SEP1922,29.875,44.44230769230769,300.1666666666667,-1.0,9.2,31.55,18.0625,214.53571428571428,171.4090909090909,130.55,385.25,76.8,6.833333333333333,48.19117647058823,9.346153846153847
03OCT1922,26.71875,66.25,323.5833333333333,-1.0,12.65,66.35,32.125,115.85714285714286,190.86363636363637,133.45,357.0833333333333,159.55,11.166666666666666,70.13235294117646,12.76923076923077
03NOV1922,38.28125,18.807692307692307,408.0833333333333,-1.0,9.95,47.8,22.125,88.05357142857143,110.22727272727273,161.6,297.9166666666667,256.25,26.75,22.58823529411765,6.153846153846154
03JUN1923,46.53125,68.42307692307692,321.6666666666667,-1.0,9.7,29.95,23.46875,150.94642857142858,208.86363636363637,139.0,201.25,109.3,12.166666666666666,68.6029411764706,16.365384615384617
03JUL1923,123.75,30.76923076923077,212.91666666666666,-1.0,7.85,47.05,20.46875,231.55357142857142,145.97727272727272,76.9,35.333333333333336,156.4,14.166666666666666,33.88235294117647,7.884615384615385
03AUG1923,136.9375,40.09615384615385,295.5,-1.0,8.1,54.7,20.8125,257.9642857142857,159.77272727272728,110.05,30.25,153.1,13.625,40.63235294117647,9.673076923076923
03SEP1923,69.21875,38.96153846153846,296.0833333333333,-1.0,10.7,48.45,21.6875,258.48214285714283,148.54545454545453,205.2,350.0,96.85,7.583333333333333,38.279411764705884,9.653846153846153
03OCT1923,29.0,39.86538461538461,301.4166666666667,-1.0,11.7,80.9,26.40625,112.75,173.11363636363637,207.65,312.9166666666667,99.25,9.666666666666666,42.36764705882353,12.346153846153847
