Station,Microcystis,Temperature,Secchi,Salinity,N,Northing,Easting,notes,Region
305,1,18.79090909,101.0028125,26.30989128,33,551924.4819,4205835.765,NA,NA
306,1,18.77878788,99.1,25.62615147,33,551371.8979,4206023.12,NA,NA
307,1,18.7,88.4146875,25.75000515,33,550989.633,4206497.844,NA,NA
308,1,18.81818182,98.9378125,25.64859356,33,552281.6804,4207918.51,NA,NA
309,1,18.9,100.77,25.98894305,33,553206.4145,4207588.279,NA,NA
310,1,19.25757576,99.7903125,24.96043385,33,554978.7136,4209295.474,NA,NA
311,1,19.03636364,94.250625,25.67558444,33,554644.7505,4208313.462,NA,NA
314,1,18.73125,75.68741935,25.35534457,32,551634.2929,4209098.316,NA,NA
315,1,18.81515152,68.6515625,24.66930163,33,553212.9486,4210221.374,NA,NA
321,1,19.428125,96.62967742,24.24124155,32,556072.6144,4210015.277,NA,NA
322,1,19.39393939,86.0075,25.17219436,33,556981.7837,4208635.687,NA,NA
323,1,19.42777778,69.6441573,22.48231455,90,558962.349,4209193.457,NA,NA
323,1,19.42777778,69.6441573,22.48231455,90,562926.825,4211417.385,NA,NA
325,1,19.303125,79.7815625,20.60439814,32,561806.4885,4212268.153,NA,NA
326,1,19.82727273,87.545625,22.92922308,33,561782.8098,4210529.209,NA,NA
327,1,18.90909091,66.85727273,23.70623977,33,555564.5184,4211298.933,NA,NA
328,1,18.896875,70.5178125,22.48188898,32,557160.602,4212678.103,NA,NA
329,1,19.1,65.2565625,21.19651151,32,560889.9709,4213045.754,NA,NA
334,1,18.88125,61.09875,22.40859801,32,557945.8288,4214401.318,NA,NA
335,1,18.90322581,61.16806452,22.05244519,31,559268.1487,4213852.694,NA,NA
336,1,19.46875,71.4328125,19.69131914,32,563270.2319,4213022.825,NA,NA
337,1,19.4875,81.6378125,20.04436869,32,563837.1219,4212666.617,NA,NA
338,1,19.640625,80.3525,19.81991385,32,565889.4846,4212741.756,NA,NA
339,1,19.671875,62.316875,19.18261967,32,565192.2728,4213476.272,NA,NA
340,1.010989011,19.83516484,49.33747253,17.94826923,91,564691.9342,4216889.941,NA,NA
340,1.010989011,19.83516484,49.33747253,17.94826923,91,564011.4264,4217725.662,NA,NA
341,1,19.99677419,58.86322581,18.52377119,31,563086.672,4220292.785,NA,NA
401,1,19.7625,77.1059375,18.6436204,32,569091.2148,4212496.4,NA,NA
403,1,19.84375,64.295625,15.97290782,32,572655.5917,4211556.442,NA,NA
404,1,19.578125,70.278125,16.02950092,32,572048.1224,4211286.958,NA,NA
405,1.045977011,19.77126437,45.05850575,13.58189935,87,573879.1619,4209869.671,NA,NA
405,1.045977011,19.77126437,45.05850575,13.58189935,87,574544.2743,4210559.757,NA,NA
406,1,19.25,62.78366667,14.23911528,30,574549.9848,4209262.136,NA,NA
407,1,19.36129032,57.74967742,14.16492333,31,575020.5987,4209819.054,NA,NA
408,1.032258065,19.38709677,66.05774194,14.04404781,31,576438.3276,4210070.786,NA,NA
409,1.032258065,19.5,64.44774194,12.9087603,31,578411.6114,4211134.813,NA,WSuisun
410,1.064516129,19.48387097,63.86064516,12.62114106,31,579275.689,4211618.103,NA,WSuisun
411,1.222222222,20.45111111,48.42066667,10.04417668,90,580428.0478,4211904.091,NA,WSuisun
411,1.222222222,20.45111111,48.42066667,10.04417668,90,581735.4046,4213011.725,NA,WSuisun
412,1.064516129,19.78064516,58.68419355,10.39062862,31,582451.7728,4213401.78,NA,WSuisun
413,1.129032258,19.90967742,61.04483871,9.798599558,31,583570.4841,4213560.761,NA,WSuisun
414,1,19.07,50.86766667,12.76659977,30,577972.7338,4211971.731,NA,WSuisun
415,1.033333333,19.11666667,48.78344828,12.49521385,30,578280.1268,4212490.671,NA,WSuisun
416,1.033333333,19.1,47.56433333,11.99571178,30,579456.1373,4213991.226,NA,WSuisun
417,1.033333333,19.26666667,43.316,11.21356998,30,580422.6187,4215171.416,NA,WSuisun
418,1.104651163,20.18953488,39.73635294,10.18468402,86,579141.2937,4213389.557,NA,WSuisun
418,1.104651163,20.18953488,39.73635294,10.18468402,86,581571.9101,4216634.309,NA,WSuisun
501,1.284090909,20.575,51.46386364,7.96825452,88,586009.7712,4213111.187,NA,WSuisun
501,1.284090909,20.575,51.46386364,7.96825452,88,585501.9987,4214307.644,NA,WSuisun
502,1.129032258,19.96451613,61.75064516,8.231479679,31,587378.5783,4212937.094,NA,Montezuma
503,1.193548387,19.91935484,61.58354839,6.870805447,31,589200.4074,4212984.567,NA,Montezuma
504,1.397727273,20.83863636,56.24367816,5.848995081,88,588654.6169,4212343.863,NA,Montezuma
504,1.397727273,20.83863636,56.24367816,5.848995081,88,589771.5858,4212905.389,NA,Montezuma
505,1.161290323,20.10645161,63.32645161,6.140609294,31,591593.1178,4212668.196,NA,Montezuma
507,1.266666667,19.71,50.82333333,4.609867207,30,593088.0863,4212146.913,NA,Montezuma
508,1.511363636,20.55,54.31647727,3.67399532,88,594868.6669,4211415.038,NA,Montezuma
508,1.511363636,20.55,54.31647727,3.67399532,88,595206.2097,4211710.829,NA,Montezuma
509,1.366666667,19.87,57.921,3.913222707,30,596157.322,4211426.798,NA,Montezuma
510,1.333333333,19.80666667,59.00366667,3.68760765,30,597582.1944,4211822.142,NA,Montezuma
511,1.4,19.93333333,59.78333333,3.658558998,30,598265.987,4212098.91,NA,Montezuma
512,1.366666667,19.83333333,58.18766667,3.632135047,30,598503.0952,4212665.521,NA,Montezuma
513,1.569767442,20.56511628,56.66895349,2.872523948,86,599309.4019,4212888.991,NA,Montezuma
513,1.569767442,20.56511628,56.66895349,2.872523948,86,599271.346,4212987.788,NA,Montezuma
515,1.137931034,19.25517241,45.15275862,8.729304924,29,586397.798,4216481.009,NA,WSuisun
516,1.172413793,19.34482759,46.44137931,7.758078864,29,588223.7538,4215021.346,NA,Montezuma
517,1.1,19.34333333,43.73166667,7.195117172,30,589523.344,4214097.817,NA,Montezuma
518,1.166666667,19.49,47.51266667,6.580811671,30,590521.6203,4213945.716,NA,Montezuma
519,1.413793103,20.24712644,41.35674419,5.795845157,87,591247.5142,4214348.378,NA,Montezuma
519,1.413793103,20.24712644,41.35674419,5.795845157,87,592337.2158,4214524.275,NA,Montezuma
520,1.916666667,21.82666667,62.05,1.898526786,60,599229.2753,4210058.163,NA,Montezuma
601,1.066666667,19.64333333,40.836,9.333368157,30,584554.0262,4217693.419,NA,WSuisun
602,1.102272727,20.06590909,34.41448276,8.727323219,88,583612.7119,4218893.263,NA,WSuisun
602,1.102272727,20.06590909,34.41448276,8.727323219,88,583990.9263,4219322.173,NA,WSuisun
603,1.066666667,19.38,39.24633333,9.553892618,30,583448.3126,4219060.25,NA,WSuisun
604,1.066666667,19.53,40.261,9.085771259,30,582641.9452,4219730.042,NA,WSuisun
605,1.1,19.84,38.72566667,8.330103752,30,582593.2117,4222714.632,NA,ESuisun
606,1.103448276,21.08850575,36.99686047,6.76477992,87,585347.6056,4225067.075,NA,ESuisun
606,1.103448276,21.08850575,36.99686047,6.76477992,87,585688.5647,4225107.04,NA,ESuisun
608,1.333333333,19.87333333,44.682,3.637839457,30,597924.811,4216245.253,NA,ESuisun
609,1.140350877,21.05263158,38.08928571,5.053668889,57,593029.946,4224898.677,NA,ESuisun
610,1.172413793,20.87068966,40.71929825,4.197803436,58,597369.6834,4219579.56,NA,ESuisun
701,1.24137931,19.38965517,55.82,2.590442703,29,602217.108,4213673.401,NA,Lower SJ
703,1.2,19.29333333,56.586,1.591992262,30,605541.7219,4213251.886,NA,Lower SJ
704,1.471264368,20.97816092,52.17895349,0.856578119,87,607428.2463,4214197.283,NA,Lower SJ
704,1.471264368,20.97816092,52.17895349,0.856578119,87,607106.2697,4214382.078,NA,Lower SJ
705,1.233333333,19.4,59.86866667,0.822236401,30,608595.6019,4215331.798,NA,Lower SJ
706,1.423529412,21.14117647,64.58928571,0.299053404,85,609560.777,4216004.436,NA,Lower SJ
706,1.423529412,21.14117647,64.58928571,0.299053404,85,610490.9974,4216583.62,NA,Lower SJ
707,1.435294118,21.28941176,83.38869048,0.127941369,85,613305.2388,4219197.082,NA,Lower SJ
707,1.435294118,21.28941176,83.38869048,0.127941369,85,613263.3092,4219248.659,NA,Lower SJ
708,1.5,19.66333333,92.16366667,0.119432458,30,614232.4408,4220606.214,NA,Lower SJ
709,1.2,19.75,96.71,0.116919178,30,614743.5058,4223031.744,NA,Lower SJ
710,1.233333333,19.76,104.8483333,0.085967267,30,615439.76,4224609.815,NA,Lower SJ
711,1.329411765,21.52588235,113.9115476,0.083396822,85,616468.8685,4226172.751,NA,Cache
711,1.329411765,21.52588235,113.9115476,0.083396822,85,616900.027,4226495.875,NA,Cache
712,1.068965517,19.32068966,164.8972414,0.081466902,29,619014.42,4227815.651,NA,Cache
713,1.36,21.004,100.5670667,0.082649649,75,617313.269,4229557.037,NA,Cache
713,1.36,21.004,100.5670667,0.082649649,75,617312.2951,4229644.333,NA,Cache
715,1.233333333,19.65333333,86.822,0.088343694,30,616101.6348,4231383.816,NA,Cache
716,1.368421053,20.81315789,89.69184211,0.091961597,76,615136.2146,4233025.951,NA,Cache
716,1.368421053,20.81315789,89.69184211,0.091961597,76,615100.4502,4233092.281,NA,Cache
717,1.103448276,18.98275862,151.1889655,0.077977779,29,619885.7039,4225580.986,NA,UpperSac
719,1.267605634,21.84929577,46.37957746,0.1853033,71,618206.4211,4243671.667,NA,SDWSC
719,1.267605634,21.84929577,46.37957746,0.1853033,71,618222.2614,4243770.803,NA,SDWSC
72,1,18.94482759,160.4,0.075012874,29,624306.7944,4227598.665,NA,UpperSac
721,1.363636364,21.24,88.16363636,0.082749039,55,613479.6444,4236363.211,NA,Cache
721,1.363636364,21.24,88.16363636,0.082749039,55,613451.7782,4236395.499,NA,Cache
723,1.366197183,21.23521127,93.69507042,0.081969465,71,616092.9013,4232848.71,NA,Cache
723,1.366197183,21.23521127,93.69507042,0.081969465,71,616128.3393,4232968.219,NA,Cache
724,1,19.20357143,156.3203571,0.076415141,28,626132.208,4232957.744,NA,UpperSac
73,1.034482759,19.25862069,153.4586207,0.074940638,29,627763.4772,4237262.091,NA,UpperSac
