id,length (ft),length_miles,up_node,down_node,tag,Total length,Region,
7,8796,1.665909091,7,8,B,NA,SDelta,
8,11625,2.201704545,8,9,B,NA,SDelta,
9,10497,1.988068182,9,10,B,NA,SDelta,
10,9400,1.78030303,10,11,C,9.241477273,SDelta,
15,5388,1.020454545,15,16,C,NA,Stockton,
16,5384,1.01969697,16,18,D,10.07518939,Stockton,
18,3765,0.713068182,18,19,D,NA,Stockton,
19,3666,0.694318182,19,20,D,NA,Stockton,
20,4107,0.777840909,20,21,D,NA,Stockton,
21,5947,1.126325758,21,22,D,NA,Stockton,
22,6803,1.28844697,22,23,D,NA,Stockton,
23,3425,0.648674242,23,24,D,NA,Stockton,
24,7742,1.466287879,24,25,E,10.78125,Stockton,
25,3317,0.628219697,25,26,E,NA,Stockton,
26,4000,0.757575758,26,27,E,NA,Stockton,
27,4700,0.890151515,28,26,E,NA,Stockton,
28,5000,0.946969697,27,29,E,NA,Stockton,
29,3800,0.71969697,29,28,E,NA,Stockton,
30,7358,1.393560606,26,29,E,NA,Stockton,
31,6525,1.235795455,29,30,E,NA,Stockton,
32,6098,1.154924242,30,31,E,NA,Stockton,
33,2397,0.453977273,31,32,E,NA,Stockton,
34,5988,1.134090909,30,32,E,NA,Stockton,
35,7239,1.371022727,31,33,Q,10.31003788,Mid SJ,
35,7239,1.371022727,31,33,Q,10.31003788,Stockton,
36,5532,1.047727273,32,33,Q,NA,Stockton,
37,5291,1.002083333,33,34,Q,NA,Mid SJ,
38,4791,0.907386364,34,35,Q,NA,Mid SJ,
39,4316,0.817424242,35,36,Q,NA,Mid SJ,
40,5753,1.089583333,36,37,Q,NA,Mid SJ,
41,6359,1.204356061,35,37,Q,NA,Mid SJ,
42,8762,1.659469697,37,38,Q,NA,Mid SJ,
43,2492,0.471969697,38,39,NA,NA,Mid SJ,
44,3619,0.685416667,39,40,NA,NA,Mid SJ,
45,12421,2.352462121,40,41,NA,NA,Mid SJ,
46,11780,2.231060606,41,42,M,9.797727273,Mid SJ,
47,14248,2.698484848,42,43,M,NA,Mid SJ,
48,9015,1.707386364,43,44,M,NA,LowerSac,
48,9015,1.707386364,43,44,M,NA,Mid SJ,
49,12948,2.452272727,469,45,M,NA,LowerSac,
50,9721,1.841098485,45,461,NA,NA,LowerSac,
51,11539,2.185416667,461,46,S,NA,LowerSac,
52,8783,1.66344697,46,47,S,NA,LowerSac,
53,11276,2.135606061,47,464,NA,NA,LowerSac,
53,11276,2.135606061,47,464,NA,NA,Lower SJ,
54,3787,0.717234848,8,48,NA,NA,SDelta,
55,4762,0.901893939,48,49,NA,NA,SDelta,
56,4214,0.798106061,49,50,NA,NA,SDelta,
57,4378,0.829166667,50,51,NA,NA,SDelta,
58,4975,0.942234848,51,52,NA,NA,SDelta,
59,4762,0.901893939,52,53,NA,NA,SDelta,
60,5875,1.112689394,53,54,NA,NA,SDelta,
61,6003,1.136931818,54,55,R,NA,SDelta,
62,4600,0.871212121,55,56,R,NA,SDelta,
63,3010,0.570075758,56,57,R,NA,SDelta,
65,3161,0.598674242,169,56,R,NA,SDelta,
66,2075,0.392992424,169,57,R,NA,SDelta,
67,2887,0.546780303,57,58,NA,NA,SDelta,
68,3769,0.713825758,58,59,NA,NA,SDelta,
69,7403,1.402083333,57,59,NA,NA,SDelta,
70,3985,0.754734848,59,60,NA,NA,SDelta,
71,6019,1.139962121,60,61,NA,NA,SDelta,
72,4513,0.854734848,61,62,NA,NA,SDelta,
73,4142,0.784469697,62,63,NA,NA,SDelta,
74,3904,0.739393939,63,64,NA,NA,SDelta,
75,4282,0.810984848,64,65,AA,7.340340909,SDelta,
76,4686,0.8875,65,66,AA,NA,SDelta,
77,7316,1.385606061,66,67,NA,NA,SDelta,
78,3185,0.603219697,67,68,NA,NA,Clifton,
78,3185,0.603219697,67,68,NA,NA,SDelta,
79,3457,0.654734848,68,69,NA,NA,Clifton,
