"Date","OUT","EXPORTS","SJR","GCD","SAC","CVP","SWP","X2"
1996-10-01,4722,10950,2110,2115,14900,4122,6581,82.62
1996-10-02,4230,11237,2120,2071,14700,4374,6608,82.84
1996-10-03,4486,11155,2160,2026,14800,4252,6651,83.02
1996-10-04,4201,11118,2140,1988,14500,4259,6611,83.22
1996-10-05,5087,10494,2140,1959,14700,4252,6016,83.3
1996-10-06,5012,10333,2130,1966,14500,4247,5866,83.37
1996-10-07,4057,10643,2140,1918,13800,4154,6267,83.58
1996-10-08,4030,10316,2080,1912,13500,3426,6665,83.78
1996-10-09,2578,11254,2000,1925,13100,4366,6668,84.26
1996-10-10,3614,10534,1930,1858,13400,4319,5995,84.5
1996-10-11,4137,10014,2030,1857,13300,4313,5499,84.63
1996-10-12,4582,9146,2330,1873,12600,4243,4702,84.69
1996-10-13,5568,9137,3090,1867,12800,4243,4694,84.63
1996-10-14,3964,10361,3380,1835,12100,4292,5881,84.78
1996-10-15,3936,9892,3490,1841,11500,4319,5393,84.93
1996-10-16,3855,9991,3500,1842,11500,4275,5522,85.09
1996-10-17,3430,10230,3500,1832,11300,4289,5742,85.31
1996-10-18,3269,9993,3460,1764,10900,4308,5490,85.55
1996-10-19,4319,9585,3210,1782,11800,4216,5180,85.6
1996-10-20,4245,9562,3170,1765,11700,4180,5197,85.66
1996-10-21,4529,8932,3130,1789,11400,4258,4485,85.67
1996-10-22,3676,9677,2920,1782,11500,4169,5296,85.82
1996-10-23,4920,8269,2840,1736,11400,4225,3835,85.77
1996-10-24,3619,9569,2850,1736,11400,4235,5128,85.92
1996-10-25,4138,9716,2970,1700,12000,4242,5272,85.98
1996-10-26,5451,8985,3010,1715,12600,4262,4530,85.85
1996-10-27,4353,8777,2830,1720,11500,4405,4165,85.88
1996-10-28,3722,8830,2620,1733,11200,4257,4455,86
1996-10-29,3491,9756,2570,1685,11900,4185,5397,86.17
1996-10-30,12195,9158,2740,1693,13000,3086,5904,85.51
1996-10-31,14422,9759,2820,1697,14100,4319,5256,84.78
1996-11-01,15223,9499,2810,1700,14600,4210,5101,84.06
1996-11-02,13487,10502,2810,1700,13900,4233,6067,83.46
1996-11-03,13714,10410,2750,1700,14200,4206,5998,82.87
1996-11-04,7600,9894,2630,1700,14200,4195,5502,82.71
1996-11-05,5512,9798,2550,1700,13800,4183,5429,82.75
1996-11-06,5455,9269,2500,1700,13400,4196,4895,82.81
1996-11-07,4538,9881,2400,1700,13200,4182,5520,82.97
1996-11-08,3949,10374,2370,1650,13100,4197,5994,83.22
1996-11-09,3946,10158,2310,1700,13000,4197,5800,83.46
1996-11-10,4189,9833,2260,1650,12900,4186,5485,83.64
1996-11-11,4258,9653,2240,1650,12800,4195,5294,83.8
1996-11-12,4240,9917,2190,1650,13100,4180,5566,83.96
1996-11-13,5270,8922,2240,1650,13100,3267,5487,83.97
1996-11-14,3953,10287,2490,1650,12900,4298,5827,84.16
1996-11-15,4340,9810,2540,1700,12800,4262,5382,84.28
1996-11-16,5155,9343,2480,1700,13200,4224,4970,84.29
1996-11-17,8441,9308,2580,1700,13500,4155,5001,83.97
1996-11-18,15400,10370,2750,1700,14600,4136,6088,83.29
1996-11-19,16859,9508,2730,1700,15400,4173,5189,82.58
1996-11-20,17805,10304,2600,1750,16800,4171,5992,81.88
1996-11-21,17434,10820,2420,1750,17200,4172,6504,81.23
1996-11-22,18495,10818,2530,1750,18800,4159,6509,80.58
1996-11-23,16704,10786,2960,1750,20600,4148,6502,80.03
1996-11-24,16004,10760,3300,1750,20900,4123,6494,79.53
1996-11-25,15756,10712,3450,1800,21600,4139,6424,79.08
1996-11-26,14714,10021,3500,1800,20000,3388,6499,78.69
1996-11-27,10938,10841,3450,1850,18700,4306,6392,78.52
1996-11-28,9531,10696,3330,1900,17800,4081,6478,78.44
1996-11-29,9434,10626,3190,1900,17800,4076,6410,78.38
1996-11-30,8719,10457,3090,1950,17100,4080,6240,78.37
1996-12-01,7040,10692,3030,2000,15800,4060,6495,78.49
1996-12-02,8676,9082,2980,2000,15400,4098,4856,78.48
1996-12-03,8076,9431,2950,2000,14900,4073,5239,78.51
1996-12-04,10937,8368,3180,2050,16500,4093,4160,78.35
1996-12-05,20624,9717,4190,2100,21200,4101,5492,77.79
1996-12-06,39985,10723,5190,2100,39500,4102,6483,76.82
1996-12-07,42122,10860,6580,2150,41800,4104,6628,75.88
1996-12-08,41194,10822,7570,2150,40700,4128,6570,75.01
1996-12-09,39727,10752,8090,2150,38700,4134,6493,74.2
1996-12-10,48869,10613,8520,2200,42000,3912,6583,73.31
1996-12-11,63881,8196,9460,2200,50200,4139,3928,72.29
1996-12-12,79498,10039,11300,2200,59600,4195,5723,71.19
1996-12-13,102962,10584,11700,2200,80000,4137,6331,69.98
1996-12-14,127545,9397,12400,2200,82500,4109,5165,68.7
1996-12-15,125300,10901,12800,2200,80100,4101,6677,67.5
1996-12-16,115048,9727,13200,2200,78200,4130,5483,66.42
1996-12-17,109357,6298,13700,2200,75400,4071,2166,65.44
1996-12-18,96515,4762,14100,2150,72400,3838,893,64.58
1996-12-19,86884,5125,14300,2150,69600,4245,806,63.85
1996-12-20,81038,4652,14400,2150,66600,4109,394,63.2
1996-12-21,84202,6242,14600,2100,63900,3947,2167,62.56
1996-12-22,95407,7341,15500,2100,64400,4129,3077,61.87
1996-12-23,110127,5506,18100,2050,67500,4115,1255,61.13
1996-12-24,108874,6324,18700,2050,65800,4099,2099,60.44
1996-12-25,104967,5397,18100,2000,62100,4087,1191,59.81
1996-12-26,100975,5158,18100,2000,58000,4094,940,59.24
1996-12-27,105001,4988,18400,1950,66500,4112,751,58.67
1996-12-28,110175,5739,17700,1950,81900,4104,1517,58.11
1996-12-29,139275,4734,18500,1900,89400,4051,569,57.42
1996-12-30,177331,4738,19900,1850,94000,3869,759,56.62
1996-12-31,225094,4223,20700,1800,96400,4114,0,55.71
1997-01-01,314657,4643,21100,1700,94900,3882,686,54.63
1997-01-02,557208,4333,21800,1650,106000,3869,374,53.24
1997-01-03,567086,5828,24700,1600,113000,3921,1815,51.92
1997-01-04,560341,3993,44900,1550,103000,3908,0,50.67
1997-01-05,482525,3858,54300,1500,98300,3761,0,49.59
1997-01-06,388826,3860,41400,1450,93700,3762,0,48.71
1997-01-07,344379,3852,37900,1450,86800,3761,0,47.96
1997-01-08,299653,4011,33700,1450,84300,3916,0,47.34
1997-01-09,263041,3871,32700,1350,84300,3774,0,46.84
1997-01-10,239378,3862,31700,1300,84500,3766,0,46.42
1997-01-11,214141,5259,29800,1300,83800,3756,1415,46.1
1997-01-12,185397,7411,28100,1250,81400,3748,3586,45.89
1997-01-13,171004,4272,26700,1250,80800,2615,1567,45.75
1997-01-14,163045,3698,25600,1200,80900,3601,0,45.64
1997-01-15,155093,3736,25400,1200,79100,3641,0,45.57
1997-01-16,150121,3180,25700,1150,76400,3083,0,45.53
1997-01-17,144306,2394,25900,1150,73800,2289,0,45.51
1997-01-18,137141,1425,25900,1100,71500,1331,0,45.53
1997-01-19,133123,395,26100,1100,70100,298,0,45.57
1997-01-20,129274,99,26400,1100,69400,0,0,45.62
1997-01-21,127496,97,26700,1050,69100,0,0,45.68
1997-01-22,139954,2614,26700,1050,76500,0,2514,45.67
1997-01-23,212323,1142,26900,1000,93100,0,1033,45.4
1997-01-24,223700,652,28000,1000,92600,0,551,45.11
1997-01-25,240309,91,29000,1000,93500,0,0,44.79
1997-01-26,281165,89,30000,1000,97500,0,0,44.38
1997-01-27,283009,90,31500,950,96800,0,0,43.99
1997-01-28,267676,1324,32600,950,95100,0,1236,43.66
1997-01-29,269037,1471,33300,950,94600,0,1398,43.35
1997-01-30,254386,2319,33600,950,90400,0,2264,43.08
1997-01-31,237512,1140,33600,900,85200,0,1075,42.88
1997-02-01,216492,1211,33600,900,81900,0,1128,42.75
1997-02-02,200509,2449,33800,900,79400,0,2368,42.67
1997-02-03,189512,1486,34100,900,78300,0,1405,42.64
1997-02-04,179082,1313,34500,900,78200,0,1227,42.64
1997-02-05,170382,1254,35600,900,77300,0,1173,42.68
1997-02-06,163282,1258,37600,900,76600,0,1177,42.74
1997-02-07,158303,1250,39700,900,75500,0,1168,42.82
1997-02-08,152272,3203,40800,900,74200,2556,559,42.92
1997-02-09,144165,4985,41000,900,72000,3778,1117,43.04
1997-02-10,140022,2883,40500,850,70300,1091,1693,43.18
1997-02-11,134540,1796,39900,850,68700,0,1694,43.34
1997-02-12,125534,1789,38600,850,67200,0,1701,43.54
1997-02-13,112745,2632,35300,850,65400,0,2540,43.79
1997-02-14,105214,2659,32600,850,62900,0,2568,44.07
1997-02-15,99171,3053,31500,850,59100,0,2960,44.38
1997-02-16,93007,2866,30900,850,53900,0,2774,44.71
1997-02-17,87165,2958,30700,850,48500,0,2868,45.07
1997-02-18,82272,3229,30800,850,43600,0,3137,45.44
1997-02-19,79757,3101,31600,850,40800,0,2993,45.81
1997-02-20,79927,3016,33700,850,39000,0,2916,46.16
1997-02-21,77917,4388,35300,900,37500,0,4291,46.51
1997-02-22,82076,1380,35400,900,37200,0,1284,46.8
1997-02-23,81143,723,35400,900,36800,0,620,47.09
1997-02-24,77552,235,35100,900,35800,0,132,47.39
1997-02-25,74813,871,34700,900,34800,616,156,47.69
1997-02-26,74711,1677,33800,900,36700,892,680,47.98
1997-02-27,71546,3807,32900,893,36900,2940,768,48.29
1997-02-28,69814,4507,32200,900,36700,3720,688,48.59
1997-03-01,69138,4367,31300,950,37200,3716,548,48.88
1997-03-02,70831,4738,29900,993,36400,3716,914,49.14
1997-03-03,68613,5517,28500,993,35600,4321,1092,49.4
1997-03-04,65130,3897,27400,986,34300,3819,0,49.69
1997-03-05,60947,4361,26300,1029,32500,4235,0,50
1997-03-06,55345,4396,24300,1031,30200,3715,532,50.36
1997-03-07,48061,6765,22000,1029,27600,4142,2452,50.79
1997-03-08,42928,7261,20000,1100,25300,4138,2953,51.26
1997-03-09,38970,7599,18400,1081,24200,4221,3216,51.78
1997-03-10,37635,6674,16800,1093,23700,4309,2220,52.29
1997-03-11,34672,7228,15300,1128,23000,4392,2705,52.82
1997-03-12,31478,7310,13500,1150,22400,4360,2805,53.39
1997-03-13,28448,7986,11700,1187,22000,4348,3488,53.99
1997-03-14,26417,8105,10200,1237,21500,4431,3531,54.6
1997-03-15,23957,8276,9170,1237,20500,4555,3570,55.25
1997-03-16,23087,8029,8420,1287,20300,4454,3430,55.88
1997-03-17,23766,7384,8050,1285,20800,4411,2805,56.46
1997-03-18,23604,8355,7740,1305,21900,4409,3789,57.01
1997-03-19,25945,8250,7390,1315,24800,4486,3587,57.47
1997-03-20,26386,7748,7000,1348,25200,4540,3038,57.9
1997-03-21,24362,7652,6840,1406,23300,4545,2944,58.35
1997-03-22,23619,7413,6590,1460,22300,4539,2714,58.8
1997-03-23,21651,8047,6410,1500,21900,4548,3336,59.28
1997-03-24,21770,7556,6140,1505,21700,4555,2861,59.73
1997-03-25,21488,6970,5740,1515,21200,4551,2291,60.16
1997-03-26,21032,6507,5410,1581,20700,4551,1824,60.58
1997-03-27,20542,6767,5020,1571,20700,4552,2075,61
1997-03-28,19604,7762,4780,1612,21000,4538,3063,61.42
1997-03-29,17783,7955,4590,1631,19600,4527,3268,61.88
1997-03-30,13894,10154,4590,1610,18300,4532,5455,62.48
1997-03-31,15918,8103,4590,1669,18400,4532,3405,62.95
1997-04-01,17053,6263,4270,1710,18100,4532,1562,63.36
1997-04-02,16291,6363,4010,1703,17700,4515,1687,63.77
1997-04-03,15453,6826,3980,1713,17400,4520,2149,64.19
1997-04-04,15456,6055,3830,1765,16900,4526,1352,64.59
1997-04-05,13059,7548,3740,1749,16200,4524,2839,65.08
1997-04-06,10672,8647,3670,1761,15000,4322,4138,65.67
1997-04-07,11025,7886,3550,1749,14700,4521,3179,66.21
1997-04-08,10153,7334,3410,1795,13600,4515,2629,66.77
1997-04-09,9429,7876,3340,1783,13600,4541,3132,67.35
1997-04-10,9158,7555,3290,1786,13100,4509,2849,67.91
1997-04-11,10346,6610,3330,1744,13200,4505,1906,68.37
1997-04-12,8474,8210,3290,1774,13000,4497,3507,68.93
1997-04-13,8677,7653,3250,1824,12900,4499,2951,69.44
1997-04-14,9603,6556,3510,1835,12600,4420,1961,69.86
1997-04-15,13537,2394,3820,1823,12000,1782,393,70.03
1997-04-16,13013,2563,4010,1808,11500,752,1600,70.22
1997-04-17,13622,2579,5000,1809,11200,753,1602,70.37
1997-04-18,13849,2561,5590,1804,10800,756,1570,70.5
1997-04-19,16574,2558,5990,1804,10800,921,1400,70.51
1997-04-20,17677,2586,5980,1824,11200,990,1366,70.48
1997-04-21,19140,2587,5930,1824,12900,1486,877,70.39
