Month,Year,X2
10,1921,84.31378005
11,1921,NA
12,1921,NA
1,1922,NA
2,1922,NA
3,1922,NA
4,1922,NA
5,1922,NA
6,1922,NA
7,1922,NA
8,1922,NA
9,1922,86.90211983
10,1922,81.69183725
11,1922,72.37544281
12,1922,72.61087069
1,1923,NA
2,1923,NA
3,1923,NA
4,1923,NA
5,1923,NA
6,1923,NA
7,1923,73.41644408
8,1923,82.45483785
9,1923,86.02191798
10,1923,77.79929579
11,1923,78.34874575
12,1923,NA
1,1924,NA
2,1924,NA
3,1924,NA
4,1924,NA
5,1924,NA
6,1924,92.58247713
7,1924,107.8730613
8,1924,107.3724231
9,1924,107.3349218
10,1924,98.88206259
11,1924,82.20707247
12,1924,74.2408108
1,1925,NA
2,1925,NA
3,1925,NA
4,1925,NA
5,1925,NA
6,1925,NA
7,1925,75.04181755
8,1925,89.72194156
9,1925,91.15108421
10,1925,84.31381592
11,1925,78.67989767
12,1925,74.24849395
1,1926,74.95015987
2,1926,51.30712535
3,1926,60.06008512
4,1926,58.59662145
5,1926,59.45980702
6,1926,76.82853434
7,1926,93.0464959
8,1926,101.7753534
9,1926,98.28469242
10,1926,89.56756459
11,1926,81.41929824
12,1926,60.95613777
1,1927,60.84165525
2,1927,42.66905935
3,1927,46.71721023
4,1927,52.49293234
5,1927,56.74970848
6,1927,57.65852369
7,1927,70.96925794
8,1927,84.76869985
9,1927,87.4006694
10,1927,83.35554767
11,1927,68.70604109
12,1927,67.00854583
1,1928,61.97131968
2,1928,59.28142657
3,1928,57.34143901
4,1928,47.38563849
5,1928,58.01543132
6,1928,71.00414896
7,1928,85.95990359
8,1928,92.94054328
9,1928,90.95212481
10,1928,84.51380333
11,1928,78.60468194
12,1928,73.74788832
1,1929,71.48635862
2,1929,65.29939352
3,1929,67.80557469
4,1929,67.93446765
5,1929,66.65045259
6,1929,71.01767846
7,1929,87.15582432
8,1929,96.84418266
9,1929,96.79986379
10,1929,89.3456759
11,1929,85.59623689
12,1929,72.50960652
1,1930,62.4887828
2,1930,61.35139542
3,1930,55.85905188
4,1930,58.76539605
5,1930,63.61335866
6,1930,72.24415977
7,1930,86.38498353
8,1930,95.05682591
9,1930,93.5021075
10,1930,83.86983787
11,1930,81.34921404
12,1930,79.34159344
1,1931,75.2625628
2,1931,69.19335378
3,1931,66.89264736
4,1931,76.18064939
5,1931,85.92416982
6,1931,95.83067834
7,1931,110.3818288
8,1931,NA
9,1931,111.2134092
10,1931,104.7182378
11,1931,96.56765971
12,1931,85.32651447
1,1932,60.54627647
2,1932,59.50276198
3,1932,58.34843821
4,1932,57.27326788
5,1932,55.47522029
6,1932,58.3147509
7,1932,68.34114649
8,1932,86.6872438
9,1932,94.15338167
10,1932,89.40525755
11,1932,85.59549059
12,1932,83.29442729
1,1933,76.71089245
2,1933,66.05175262
3,1933,62.88256366
4,1933,63.84012567
5,1933,63.31016222
6,1933,62.77477378
7,1933,83.16751876
8,1933,96.63105405
9,1933,100.4311345
10,1933,93.75817195
11,1933,NA
12,1933,NA
1,1934,NA
2,1934,61.2130916
3,1934,57.38926209
4,1934,61.31237919
5,1934,77.90518393
6,1934,88.16935079
7,1934,100.4573133
8,1934,109.6633579
9,1934,107.633653
10,1934,102.1526511
11,1934,87.29152369
12,1934,75.10602612
1,1935,60.82325012
2,1935,58.93197768
3,1935,56.63446184
4,1935,51.7404419
5,1935,51.8614045
6,1935,53.85100329
7,1935,74.11429213
8,1935,88.77449698
9,1935,90.56902134
10,1935,83.37236222
11,1935,80.96416016
12,1935,78.89509554
1,1936,59.21857244
2,1936,57.33885304
3,1936,50.92879556
4,1936,54.32524969
5,1936,56.17472446
6,1936,59.09164231
7,1936,75.61921831
8,1936,86.91424916
9,1936,88.39817332
10,1936,83.91447977
11,1936,82.22200482
12,1936,80.14544495
1,1937,74.25172801
2,1937,56.44999388
3,1937,48.52604545
4,1937,48.99069801
5,1937,53.3217453
6,1937,58.57024989
7,1937,76.08016312
8,1937,89.6644032
9,1937,93.09034283
10,1937,84.05266601
11,1937,71.85235864
12,1937,50.59547357
1,1938,60.23183522
2,1938,37.64347431
3,1938,37.37814749
4,1938,38.3903268
5,1938,45.95518484
6,1938,46.01334313
7,1938,62.46172609
8,1938,75.1444664
9,1938,79.3315395
10,1938,75.86943036
11,1938,71.7235099
12,1938,67.35469877
1,1939,71.95699119
2,1939,65.71596276
3,1939,63.83459737
4,1939,62.51413157
5,1939,74.36002942
6,1939,85.21844573
7,1939,100.3712589
8,1939,110.6098168
9,1939,104.4929929
10,1939,95.92054906
11,1939,88.90061428
12,1939,81.88206428
1,1940,61.3518137
2,1940,52.92828754
3,1940,47.03306376
4,1940,45.24155924
5,1940,58.17015276
6,1940,63.87830765
7,1940,81.72286684
8,1940,93.28962132
9,1940,92.45742797
10,1940,84.6039719
11,1940,76.51030929
12,1940,72.39403314
1,1941,62.38581985
2,1941,46.69599923
3,1941,46.60055598
4,1941,51.90611107
5,1941,54.51725203
6,1941,57.33087666
7,1941,62.60716257
8,1941,NA
9,1941,NA
10,1941,NA
11,1941,NA
12,1941,NA
1,1942,NA
2,1942,NA
3,1942,NA
4,1942,NA
5,1942,NA
6,1942,NA
7,1942,NA
8,1942,NA
9,1942,NA
10,1942,NA
11,1942,NA
12,1942,NA
1,1943,NA
2,1943,NA
3,1943,NA
4,1943,NA
5,1943,NA
6,1943,NA
7,1943,NA
8,1943,NA
9,1943,NA
10,1943,NA
11,1943,NA
12,1943,NA
1,1944,73.02041618
2,1944,68.82730762
3,1944,59.73505963
4,1944,64.35445344
5,1944,60.86615449
6,1944,70.04130726
7,1944,85.19139944
8,1944,94.20235977
9,1944,94.58839563
10,1944,86.71206496
11,1944,76.09082125
12,1944,69.6587146
1,1945,66.64475971
2,1945,57.77804475
3,1945,59.50576741
4,1945,60.46949828
5,1945,58.24631644
6,1945,63.84755197
7,1945,73.48127957
8,1945,80.27880718
9,1945,80.73796248
10,1945,75.38424331
11,1945,69.80056373
12,1945,60.71267375
1,1946,54.09333409
2,1946,62.57502928
3,1946,62.75558236
4,1946,58.52837825
5,1946,60.57165461
6,1946,68.29057611
7,1946,78.78459171
8,1946,83.72669059
9,1946,81.75213656
10,1946,78.88240339
11,1946,75.35851761
12,1946,69.49772572
1,1947,72.47862543
2,1947,66.32843275
3,1947,62.62286258
4,1947,64.8265894
5,1947,75.09847278
6,1947,81.35950606
7,1947,91.64832055
8,1947,94.18566915
9,1947,89.84869232
10,1947,81.03113334
11,1947,75.38018089
12,1947,78.25047932
1,1948,71.00954312
2,1948,73.45730933
3,1948,71.45384776
4,1948,56.16147605
5,1948,56.57492696
6,1948,60.57250495
7,1948,73.75708024
8,1948,80.98310897
9,1948,79.19382244
10,1948,76.08565711
11,1948,76.03359334
12,1948,75.50511975
1,1949,74.07344152
2,1949,72.13975575
3,1949,54.80837882
4,1949,59.71069466
5,1949,64.56998616
6,1949,72.3599711
7,1949,85.0768694
8,1949,86.74850802
9,1949,82.71281176
10,1949,81.16835481
11,1949,79.75200668
12,1949,79.53337445
1,1950,72.5759501
2,1950,57.03933812
3,1950,59.87708755
4,1950,58.47540661
5,1950,60.29791375
6,1950,65.90201215
7,1950,79.50338353
8,1950,84.81870819
9,1950,82.60592087
10,1950,78.91957449
11,1950,67.66247093
12,1950,49.26820635
1,1951,54.49157472
2,1951,53.68327751
3,1951,58.71117128
4,1951,60.4698341
5,1951,61.84272865
6,1951,68.81151128
7,1951,79.25296956
8,1951,83.7921133
9,1951,82.24582326
10,1951,79.24124618
11,1951,76.86517812
12,1951,67.89591594
1,1952,49.64836258
2,1952,47.85193157
3,1952,51.51777554
4,1952,50.47919773
5,1952,47.8191051
6,1952,52.51178524
7,1952,66.37923063
8,1952,75.84359095
9,1952,75.55873806
10,1952,74.6293674
11,1952,75.05140207
12,1952,61.94442968
1,1953,43.71873055
2,1953,59.73056372
3,1953,63.67107858
4,1953,64.51722267
5,1953,57.39713119
6,1953,61.01868647
7,1953,74.38336433
8,1953,83.52310647
9,1953,79.11878231
10,1953,74.26480622
11,1953,72.67593173
12,1953,70.46865133
1,1954,68.73750869
2,1954,56.19075776
3,1954,55.7840226
4,1954,53.96728594
5,1954,60.32920811
6,1954,75.25839722
7,1954,88.27978523
8,1954,92.67823336
9,1954,84.79481567
10,1954,77.5039153
11,1954,72.8947616
12,1954,66.76129124
1,1955,64.09930386
2,1955,67.50367164
3,1955,69.98375799
4,1955,74.81234277
5,1955,67.6293037
6,1955,73.31952577
7,1955,85.46508781
8,1955,90.11502595
9,1955,85.60028576
10,1955,83.01161639
11,1955,80.24098072
12,1955,60.5786397
1,1956,31.20295893
2,1956,43.90318605
3,1956,50.62707067
4,1956,57.90286193
5,1956,55.36946663
6,1956,57.76202231
7,1956,71.1841399
8,1956,75.7779294
9,1956,72.35210773
10,1956,72.82237602
11,1956,70.76525306
12,1956,72.56501918
1,1957,72.21169703
2,1957,72.86523346
3,1957,50.2513777
4,1957,68.35593926
5,1957,62.76103751
6,1957,62.92613591
7,1957,NA
8,1957,87.16059593
9,1957,81.13188868
10,1957,69.75646147
11,1957,66.87687917
12,1957,65.38614448
1,1958,56.37384002
2,1958,NA
3,1958,47.40307419
4,1958,NA
5,1958,51.64228498
6,1958,53.87544268
7,1958,70.64492303
8,1958,76.15680009
9,1958,73.02220644
10,1958,72.92835298
11,1958,70.82428574
12,1958,71.16091078
1,1959,63.83057517
2,1959,55.78549353
3,1959,61.06433134
4,1959,72.4201464
5,1959,78.08838705
6,1959,89.02460813
7,1959,94.11612146
8,1959,90.34449036
9,1959,83.30993097
10,1959,82.4891432
11,1959,82.16851667
12,1959,84.77681595
1,1960,78.34984501
2,1960,61.28871588
3,1960,58.2546213
4,1960,67.99550589
5,1960,72.08218186
6,1960,82.93261936
7,1960,91.49131629
8,1960,92.19031159
9,1960,88.59092455
10,1960,85.26405578
11,1960,79.87447147
12,1960,69.1444594
1,1961,72.46755865
