(Intercept),CVPSWPs,INms,SACs,SJRs,Temp,SACms,SJRms,X2s,df,logLik,BIC,Delta
5.956060185,NA,NA,NA,NA,1.632463126,-1.29219434,NA,1.317708914,6,-927.3515203,1890.944569,0
5.956008452,NA,-1.191603584,NA,NA,1.625249052,NA,NA,1.416659975,6,-929.1242524,1894.490033,3.545464232
5.951840277,-0.192548656,NA,NA,NA,1.640444873,-1.242090325,NA,1.249857042,7,-926.5288718,1895.339527,4.394957747
5.95069022,-0.238292144,-1.140777261,NA,NA,1.63548227,NA,NA,1.323184107,7,-927.8553962,1897.992575,7.048006549
5.972106535,-0.761875622,NA,0.813658241,-1.211067943,1.607483001,-1.490562314,NA,NA,8,-925.9670584,1900.256154,9.311585688
5.977594848,NA,NA,NA,-0.876655045,1.690868958,-1.652545798,NA,NA,6,-935.0385321,1906.318592,15.3740236
5.967461547,-0.323140203,NA,NA,-0.816449021,1.698895293,-1.532723189,NA,NA,7,-932.6972182,1907.676219,16.73165061
5.983960652,NA,NA,0.255387079,-1.026545003,1.658744108,-1.688409682,NA,NA,7,-933.9708201,1910.223423,19.27885431
5.955427448,NA,NA,NA,NA,1.605434602,NA,-0.875407784,1.770579916,6,-938.2500852,1912.741699,21.79712993
5.946655493,-0.361012379,NA,NA,NA,1.622110302,NA,-0.835755289,1.596905753,7,-935.3802428,1913.042269,22.09769982
5.971796022,-0.78130012,-1.357117541,0.662205243,-1.169558642,1.623117774,NA,NA,NA,8,-933.0673978,1914.456833,23.51226438
5.967717501,-0.415398176,-1.418718369,NA,-0.833577726,1.697192094,NA,NA,NA,7,-937.3331029,1916.947989,26.00342007
5.982382118,NA,-1.552112958,NA,-0.920839733,1.686479805,NA,NA,NA,6,-941.2067693,1918.655067,27.71049807
5.984463972,NA,-1.557601658,0.072250109,-0.965969216,1.677322767,NA,NA,NA,7,-941.1223668,1924.526517,33.58194774
5.968144936,-0.490940232,NA,NA,NA,1.69333661,-1.90522187,NA,NA,6,-948.6038119,1933.449152,42.50458323
5.981985154,NA,NA,NA,NA,1.68015429,-2.14463961,NA,NA,5,-953.7975581,1937.79639,46.85182098
5.973524604,NA,NA,-0.357184522,NA,1.72744725,-1.972318446,NA,NA,6,-950.844769,1937.931066,46.98649746
5.967553925,-0.422758985,NA,-0.106410373,NA,1.70565717,-1.887005178,NA,NA,7,-948.4386481,1939.159079,48.21451031
5.967507057,-0.603253751,-1.789951334,NA,NA,1.691047796,NA,NA,NA,6,-953.4333508,1943.10823,52.163661
5.972861724,NA,-1.840463157,-0.508655006,NA,1.742446209,NA,NA,NA,6,-955.1468876,1946.535303,55.59073469
