(Intercept),CVP+SWP exports,Spring Inflow (Sac+San Joaquin),Sacramento Inflow,San Joaquin Inflow,Water Temperature,Spring Sacramento River Flow,Spring San Joaquin River Flow,X2,df,logLik,BIC,DeltaBIC
5.956,NA,NA,NA,NA,1.632,-1.292,NA,1.318,6.000,-927.352,1890.945,0.000
5.956,NA,-1.192,NA,NA,1.625,NA,NA,1.417,6.000,-929.124,1894.490,3.545
5.952,-0.193,NA,NA,NA,1.640,-1.242,NA,1.250,7.000,-926.529,1895.340,4.395
5.951,-0.238,-1.141,NA,NA,1.635,NA,NA,1.323,7.000,-927.855,1897.993,7.048
5.972,-0.762,NA,0.814,-1.211,1.607,-1.491,NA,NA,8.000,-925.967,1900.256,9.312
5.978,NA,NA,NA,-0.877,1.691,-1.653,NA,NA,6.000,-935.039,1906.319,15.374
5.967,-0.323,NA,NA,-0.816,1.699,-1.533,NA,NA,7.000,-932.697,1907.676,16.732
5.984,NA,NA,0.255,-1.027,1.659,-1.688,NA,NA,7.000,-933.971,1910.223,19.279
5.955,NA,NA,NA,NA,1.605,NA,-0.875,1.771,6.000,-938.250,1912.742,21.797
5.947,-0.361,NA,NA,NA,1.622,NA,-0.836,1.597,7.000,-935.380,1913.042,22.098
5.972,-0.781,-1.357,0.662,-1.170,1.623,NA,NA,NA,8.000,-933.067,1914.457,23.512
5.968,-0.415,-1.419,NA,-0.834,1.697,NA,NA,NA,7.000,-937.333,1916.948,26.003
5.982,NA,-1.552,NA,-0.921,1.686,NA,NA,NA,6.000,-941.207,1918.655,27.710
5.984,NA,-1.558,0.072,-0.966,1.677,NA,NA,NA,7.000,-941.122,1924.527,33.582
5.968,-0.491,NA,NA,NA,1.693,-1.905,NA,NA,6.000,-948.604,1933.449,42.505
5.982,NA,NA,NA,NA,1.680,-2.145,NA,NA,5.000,-953.798,1937.796,46.852
5.974,NA,NA,-0.357,NA,1.727,-1.972,NA,NA,6.000,-950.845,1937.931,46.986
5.968,-0.423,NA,-0.106,NA,1.706,-1.887,NA,NA,7.000,-948.439,1939.159,48.215
5.968,-0.603,-1.790,NA,NA,1.691,NA,NA,NA,6.000,-953.433,1943.108,52.164
5.973,NA,-1.840,-0.509,NA,1.742,NA,NA,NA,6.000,-955.147,1946.535,55.591
5.966,-0.441,-1.757,-0.242,NA,1.719,NA,NA,NA,7.000,-952.580,1947.442,56.498
5.937,-0.502,NA,NA,NA,1.606,NA,NA,2.183,6.000,-956.949,1950.140,59.195
5.970,-0.672,NA,NA,-0.992,1.697,NA,-1.050,NA,7.000,-954.547,1951.376,60.431
5.986,NA,-2.061,NA,NA,1.675,NA,NA,NA,5.000,-961.345,1952.891,61.946
5.974,-0.936,NA,0.474,-1.251,1.644,NA,-0.974,NA,8.000,-952.675,1953.671,62.726
5.950,NA,NA,NA,NA,1.582,NA,NA,2.464,5.000,-961.995,1954.192,63.247
6.003,NA,NA,NA,-1.186,1.676,NA,-1.176,NA,6.000,-964.280,1964.801,73.856
5.992,NA,NA,-0.284,-0.986,1.713,NA,-1.194,NA,7.000,-963.116,1968.515,77.570
5.964,-0.571,NA,-0.561,NA,1.754,NA,-1.408,NA,7.000,-971.569,1985.420,94.475
5.975,NA,NA,-0.923,NA,1.786,NA,-1.495,NA,6.000,-975.491,1987.223,96.279
5.967,-0.980,NA,NA,NA,1.690,NA,-1.438,NA,6.000,-975.892,1988.025,97.081
5.982,-1.490,NA,1.020,-2.026,1.595,NA,NA,NA,7.000,-978.899,2000.080,109.135
5.973,-0.975,NA,NA,-1.557,1.712,NA,NA,NA,6.000,-987.226,2010.695,119.750
6.014,NA,NA,NA,NA,1.658,NA,-1.764,NA,5.000,-995.975,2022.151,131.206
6.036,NA,NA,NA,-1.948,1.677,NA,NA,NA,5.000,-1005.085,2040.371,149.427
6.030,NA,NA,-0.127,-1.864,1.695,NA,NA,NA,6.000,-1004.893,2046.028,155.084
5.970,NA,NA,NA,NA,NA,-1.223,NA,1.503,5.000,-1015.626,2061.454,170.509
5.967,NA,-1.142,NA,NA,NA,NA,NA,1.598,5.000,-1016.473,2063.148,172.204
5.977,-1.110,NA,1.509,-1.519,NA,-1.540,NA,NA,7.000,-1010.460,2063.202,172.258
5.969,-0.090,NA,NA,NA,NA,-1.195,NA,1.470,6.000,-1015.507,2067.256,176.311
5.966,-0.141,-1.106,NA,NA,NA,NA,NA,1.539,6.000,-1016.177,2068.596,177.652
5.955,NA,NA,NA,NA,NA,NA,-0.849,1.936,5.000,-1021.680,2073.562,182.617
5.975,-1.147,-1.367,1.370,-1.502,NA,NA,NA,NA,7.000,-1016.872,2076.026,185.081
5.955,-0.273,NA,NA,NA,NA,NA,-0.818,1.804,6.000,-1020.599,2077.440,186.496
5.990,NA,NA,0.720,-1.266,NA,-1.827,NA,NA,6.000,-1021.611,2079.463,188.519
5.979,NA,NA,NA,-0.836,NA,-1.752,NA,NA,5.000,-1027.041,2084.283,193.338
5.978,-0.298,NA,NA,-0.780,NA,-1.638,NA,NA,6.000,-1025.777,2087.796,196.852
5.979,NA,-1.637,NA,-0.884,NA,NA,NA,NA,5.000,-1031.281,2092.763,201.819
5.993,NA,-1.653,0.537,-1.225,NA,NA,NA,NA,6.000,-1028.308,2092.857,201.912
5.972,-0.399,-1.516,NA,-0.798,NA,NA,NA,NA,6.000,-1029.039,2094.320,203.376
5.946,NA,NA,NA,NA,NA,NA,NA,2.604,4.000,-1036.508,2097.177,206.232
