"","(Intercept)","logres","Month","Sal","Temp","df","logLik","AICc","delta","weight"
"15",-4.07019484742628,NA,0.417975893734131,-0.570911414256284,1.12789920930181,6,-866.725090744476,1745.65505953773,0,0.735216892592006
"16",-4.0875436264919,-0.0138194330308432,0.418790190575409,-0.578486744977582,1.12780985290535,7,-866.712277794012,1747.69839421883,2.04333468109962,0.264673821898314
"12",-3.6102908012735,0.119069211299245,0.375154916664693,NA,1.12382607114961,6,-876.203034979833,1764.61094800845,18.9558884707142,5.625959426599e-05
"11",-3.7146604489497,NA,0.377006219692888,NA,1.12202000334649,5,-877.291677130644,1764.72933966275,19.0742801250155,5.30259154138601e-05
"13",-0.6700524940776,NA,NA,-0.289045540633375,0.72274506570482,5,-923.190434710464,1856.52685482239,110.871795284657,6.17889807888766e-25
"14",-0.58578856818104,0.106465265614776,NA,-0.239629061565362,0.728744189181283,6,-922.399950614221,1857.00477927722,111.349719739491,4.86554008452585e-25
"10",-0.539654804600712,0.157181961605336,NA,NA,0.745232254371535,5,-924.222160805833,1858.59030701313,112.935247475394,2.20210529668581e-25
"9",-0.661518052197291,NA,NA,NA,0.741069817207013,4,-926.134151184107,1860.36538974685,114.710330209122,9.06533303372048e-26
"5",-0.683543347633118,NA,NA,-0.557398946703346,NA,4,-1021.93382021011,2051.96472779886,306.309668261124,2.24965611937095e-67
"7",-0.844003835691576,NA,0.0196857955382654,-0.577741560828339,NA,5,-1021.72663767689,2053.59926075524,307.944201217504,9.93531899314172e-68
"6",-0.674613581895177,0.0114680136337682,NA,-0.552105073542391,NA,5,-1021.92349237787,2053.9929701572,308.337910619465,8.15997644658773e-68
"8",-0.840441935786324,0.0027188381100094,0.0195060391108199,-0.576299359618909,NA,6,-1021.72607263796,2055.65702332469,310.00196378696,3.55094831491588e-68
"2",-0.57580063420023,0.124702675488893,NA,NA,NA,4,-1032.38965477276,2072.87639692416,327.221337386432,6.47447984161147e-72
"1",-0.670699458897322,NA,NA,NA,NA,3,-1033.73456167937,2073.52723473889,327.87217520116,4.67602955261406e-72
"4",-0.385140165444118,0.128883264807618,-0.0230581347260809,NA,NA,5,-1032.08243153917,2074.31084847981,328.655788942074,3.16022267913248e-72
"3",-0.511040003594156,NA,-0.0196632586873585,NA,NA,4,-1033.5093496297,2075.11578663804,329.460727100306,2.11313666363701e-72
