"","(Intercept)","logres","Month","Sal","Temp","df","logLik","AICc","delta","weight"
"15",-4.1774085944525,NA,0.437002681979634,-0.563571732448801,1.13420797171648,6,-837.570640156277,1687.34615836133,0,0.736255144287472
"16",-4.1896494972233,-0.0111979313998096,0.437597886228101,-0.569206838086698,1.13407006196506,7,-837.56294682897,1689.39973228875,2.05357392741234,0.263694110332508
"12",-3.72236722467513,0.133502757653588,0.390121748846188,NA,1.12947172043852,6,-847.740677433577,1707.68623291593,20.3400745546005,2.81992314427911e-05
"11",-3.82118822864233,NA,0.391264164963414,NA,1.12656132167051,5,-848.993854224456,1708.13369385037,20.787535489038,2.25461485770485e-05
"13",-0.634069703121394,NA,NA,-0.285148930288881,0.704581361681824,5,-894.961033762715,1800.06805292689,112.721894565556,2.45346542707265e-25
"14",-0.563333745441194,0.104158769600161,NA,-0.240622859370612,0.710405246028324,6,-894.27226630226,1800.7494106533,113.403252291966,1.74511877977173e-25
"10",-0.533479580202358,0.16153452293791,NA,NA,0.728948467708029,5,-896.318650513104,1802.78328642767,115.437128066333,6.31210884659527e-26
"9",-0.645527561680505,NA,NA,NA,0.724909596953684,4,-898.163170349012,1804.42342807666,117.07726971533,2.77985565387332e-26
"5",-0.628784652458338,NA,NA,-0.524153814590742,NA,4,-979.789254333,1967.67559604464,280.329437683307,9.86880100244745e-62
"7",-0.967060532549544,NA,0.0417785699969156,-0.564794399631531,NA,5,-978.917304396062,1967.98059419358,280.634435832249,8.47295471529731e-62
"6",-0.619661864878803,0.0135793639589488,NA,-0.518376244217237,NA,5,-979.776246492807,1969.69847838707,282.352320025739,3.58922820916419e-62
"8",-0.972114011895822,-0.00437192724448153,0.0420430238775674,-0.566933881271058,NA,6,-978.915988102147,1970.03685425307,282.69069589174,3.03056558211855e-62
"2",-0.561275116986886,0.133873617867278,NA,NA,NA,4,-989.968949712673,1988.03498680399,300.688828442653,3.74350882231215e-66
"1",-0.652396939262249,NA,NA,NA,NA,3,-991.366389553112,1988.79089048637,301.444732125034,2.56528996289635e-66
"4",-0.530620294987848,0.134422860965866,-0.00372143210437491,NA,NA,5,-989.961425819171,1990.0688370398,302.722678678467,1.3540474815373e-66
"3",-0.644355558902266,NA,-0.000988712197460556,NA,NA,4,-991.365854783528,1990.8287969457,303.482638584363,9.25999382236429e-67
