,Estimate,Std. Error,df,t value,Pr(>|t|),
(Intercept),5.724,0.820,5.134,6.978,0.001,
Temp,1.569,0.167,79.487,9.424,0.000,
X2s,0.752,0.254,94.774,2.966,0.004,
CVPSWPs,-0.697,0.215,170.934,-3.247,0.001,
,,,,,,
Model,K,BIC,Delta_BIC,BICWt,Cum.Wt,Res.LL
Exports + Temperature,7,1855.15,0,0.5,0.5,-906.43
Exports + X2 + Temperature,8,1855.57,0.42,0.41,0.91,-903.62
X2 + Temperature,7,1858.55,3.4,0.09,1,-908.13
,,,,,,
Mod3,8,1852.78,0,0.61,0.61,-902.23
Mod2,7,1854.03,1.25,0.33,0.94,-905.87
Mod1,7,1857.35,4.57,0.06,1,-907.53
