"","Source","Station","Latitude","Longitude","Date","Datetime","Depth","Tide","Microcystis","Secchi","Secchi_estimated","Temperature","Temperature_bottom","Conductivity","MonthYear","Year","StationID","Month","Season","Salinity","Salinity_bottom","uniqueval"
"1","FMWT","405",38.03353,-122.15815,2016-09-08,2016-09-08 08:05:00,9.144,"Flood",1,77,FALSE,19.4,19.3,28292,2016-09-01,2016,"FMWT 405",9,"Fall",17.4135395908329,NA,"405 2016-09-08"
"2","FMWT","411",38.06117,-122.06828,2016-09-08,2016-09-08 10:51:00,14.0208,"Ebb",1,70,FALSE,20.1,19.9,22658,2016-09-01,2016,"FMWT 411",9,"Fall",13.6541683854717,NA,"411 2016-09-08"
"3","FMWT","501",38.06167,-122.01955,2016-09-08,2016-09-08 12:23:00,12.8016,"Ebb",1,63,FALSE,20.1,19.9,17994,2016-09-01,2016,"FMWT 501",9,"Fall",10.6217964107952,NA,"501 2016-09-08"
"4","FMWT","504",38.05945,-121.9767,2016-09-08,2016-09-08 13:48:00,11.2776,"Ebb",1,60,FALSE,20.4,20.2,13822,2016-09-01,2016,"FMWT 504",9,"Fall",7.97936926060243,NA,"504 2016-09-08"
"5","FMWT","804",38.02308,-121.79868,2016-09-12,2016-09-12 15:46:00,12.8016,"Flood",1,47,FALSE,20.4,19.8,3512,2016-09-01,2016,"FMWT 804",9,"Fall",1.84152758914403,NA,"804 2016-09-12"
"6","FMWT","802",38.03528,-121.83875,2016-09-12,2016-09-12 14:40:00,7.62,"Flood",1,47,FALSE,19.8,20.1,6261,2016-09-01,2016,"FMWT 802",9,"Fall",3.40635582134225,NA,"802 2016-09-12"
"7","FMWT","602",38.11783,-122.04183,2016-09-12,2016-09-12 12:48:00,2.1336,"Flood",1,32,FALSE,18.8,18.7,19430,2016-09-01,2016,"FMWT 602",9,"Fall",11.5471565452141,NA,"602 2016-09-12"
"8","FMWT","606",38.1698,-122.02177,2016-09-12,2016-09-12 10:53:00,8.2296,"Flood",1,32,FALSE,19.5,19.1,15698,2016-09-01,2016,"FMWT 606",9,"Fall",9.15870576423192,NA,"606 2016-09-12"
"9","FMWT","418",38.09383,-122.06973,2016-09-12,2016-09-12 09:40:00,10.3632,"Flood",1,36,FALSE,18.5,18.1,18967,2016-09-01,2016,"FMWT 418",9,"Fall",11.2479649914254,NA,"418 2016-09-12"
"10","FMWT","416",38.0702,-122.09415,2016-09-12,2016-09-12 08:36:00,9.7536,"Flood",1,40,FALSE,18.3,18.4,20174,2016-09-01,2016,"FMWT 416",9,"Fall",12.0295561855922,NA,"416 2016-09-12"
"11","FMWT","608",38.0887,-121.88332,2016-09-13,2016-09-13 14:09:00,8.5344,"Flood",1,30,FALSE,19.4,19.4,7255,2016-09-01,2016,"FMWT 608",9,"Fall",3.98774094362134,NA,"608 2016-09-13"
"12","FMWT","513",38.0592,-121.86842,2016-09-13,2016-09-13 13:11:00,16.764,"Flood",1,47,FALSE,19.9,19.2,4611,2016-09-01,2016,"FMWT 513",9,"Fall",2.45867158486661,NA,"513 2016-09-13"
"13","FMWT","508",38.04813,-121.91492,2016-09-13,2016-09-13 10:49:00,10.668,"Flood",1,37,FALSE,19.6,19,4627,2016-09-01,2016,"FMWT 508",9,"Fall",2.4677450037711,NA,"508 2016-09-13"
"14","FMWT","519",38.07378,-121.94725,2016-09-13,2016-09-13 09:46:00,2.1336,"Flood",1,38,FALSE,18.8,17.8,9660,2016-09-01,2016,"FMWT 519",9,"Fall",5.42182412124486,NA,"519 2016-09-13"
"15","FMWT","906",38.05412,-121.51653,2016-09-19,2016-09-19 14:51:00,12.4968,"Flood",5,175,FALSE,22.5,22.3,299,2016-09-01,2016,"FMWT 906",9,"Fall",0.141907452016423,NA,"906 2016-09-19"
"16","FMWT","910",38.00228,-121.45037,2016-09-19,2016-09-19 13:46:00,11.5824,"Ebb",5,145,FALSE,23.8,23.2,283,2016-09-01,2016,"FMWT 910",9,"Fall",0.134154139445465,NA,"910 2016-09-19"
"17","FMWT","912",37.96883,-121.37172,2016-09-19,2016-09-19 12:35:00,11.2776,"Ebb",5,134,FALSE,24.9,24,484,2016-09-01,2016,"FMWT 912",9,"Fall",0.232480892161053,NA,"912 2016-09-19"
"18","FMWT","809",38.0512,-121.69305,2016-09-19,2016-09-19 08:52:00,13.1064,"Ebb",1,65,FALSE,20.8,20.7,1589,2016-09-01,2016,"FMWT 809",9,"Fall",0.798636237802346,NA,"809 2016-09-19"
"19","FMWT","723",38.23615,-121.67348,2016-09-15,2016-09-15 08:43:00,11.2776,"Ebb",1,116,FALSE,19.3,19.3,179,2016-09-01,2016,"FMWT 723",9,"Fall",0.0840544648519182,NA,"723 2016-09-15"
"20","FMWT","796",38.47387,-121.5844,2016-09-15,2016-09-15 11:30:00,9.7536,"Low Slack",1,51,FALSE,22,21.3,803,2016-09-01,2016,"FMWT 796",9,"Fall",0.392125597172183,NA,"796 2016-09-15"
"21","FMWT","795",38.5377,-121.58468,2016-09-15,2016-09-15 12:01:00,10.668,"Flood",1,140,FALSE,23.5,22.1,883,2016-09-01,2016,"FMWT 795",9,"Fall",0.432732757081816,NA,"795 2016-09-15"
"22","FMWT","797",38.40462,-121.6156,2016-09-15,2016-09-15 10:28:00,10.3632,"Low Slack",1,35,FALSE,21.1,20.2,601,2016-09-01,2016,"FMWT 797",9,"Fall",0.290573423256234,NA,"797 2016-09-15"
"23","FMWT","719",38.33428,-121.64733,2016-09-15,2016-09-15 09:53:00,10.3632,"Low Slack",1,52,FALSE,20.3,20,368,2016-09-01,2016,"FMWT 719",9,"Fall",0.175492360745603,NA,"719 2016-09-15"
"24","FMWT","721",38.26815,-121.70277,2016-09-14,2016-09-14 09:02:00,3.048,"Ebb",2,124,FALSE,18.5,18.4,179,2016-09-01,2016,"FMWT 721",9,"Fall",0.0840544648519182,NA,"721 2016-09-14"
"25","FMWT","716",38.23787,-121.68438,2016-09-14,2016-09-14 09:46:00,13.4112,"Ebb",2,139,FALSE,18.8,18.5,180,2016-09-01,2016,"FMWT 716",9,"Fall",0.0845340757562894,NA,"716 2016-09-14"
"26","FMWT","711",38.17595,-121.67028,2016-09-14,2016-09-14 11:12:00,11.5824,"Flood",2,163,FALSE,19.5,19.5,171,2016-09-01,2016,"FMWT 711",9,"Fall",0.0802186535554827,NA,"711 2016-09-14"
"27","FMWT","707",38.11397,-121.70797,2016-09-14,2016-09-14 13:03:00,10.0584,"Flood",2,121,FALSE,19.9,19.9,173,2016-09-01,2016,"FMWT 707",9,"Fall",0.0811774336133525,NA,"707 2016-09-14"
"28","FMWT","704",38.07087,-121.77892,2016-09-14,2016-09-14 14:53:00,10.0584,"Flood",1,29,FALSE,20.1,19.7,1533,2016-09-01,2016,"FMWT 704",9,"Fall",0.76918596374201,NA,"704 2016-09-14"
"29","FMWT","706",38.0903,-121.74,2016-09-14,2016-09-14 13:58:00,10.0584,"Flood",1,61,FALSE,20.4,20.2,224,2016-09-01,2016,"FMWT 706",9,"Fall",0.10567315443755,NA,"706 2016-09-14"
"30","FMWT","919",38.10572,-121.49525,2016-09-20,2016-09-20 07:45:00,7.3152,"Flood",5,256,FALSE,21,21,175,2016-09-01,2016,"FMWT 919",9,"Fall",0.082136326297176,NA,"919 2016-09-20"
"31","FMWT","812",38.08792,-121.64883,2016-09-20,2016-09-20 13:44:00,13.4112,"Ebb",2,86,FALSE,21.5,21.7,668,2016-09-01,2016,"FMWT 812",9,"Fall",0.324090655654534,NA,"812 2016-09-20"
"32","FMWT","815",38.0913,-121.57587,2016-09-20,2016-09-20 12:24:00,13.4112,"Ebb",5,113,FALSE,21.8,21.5,404,2016-09-01,2016,"FMWT 815",9,"Fall",0.193109547944688,NA,"815 2016-09-20"
"33","FMWT","504",38.05945,-121.9767,2016-10-05,2016-10-05 13:26:00,11.5824,"Ebb",NA,78,FALSE,19.2,18.4,9550,2016-10-01,2016,"FMWT 504",10,"Fall",5.3554622722067,NA,"504 2016-10-05"
"34","FMWT","501",38.06167,-122.01955,2016-10-05,2016-10-05 11:56:00,10.9728,"Ebb",1,69,FALSE,18.2,18.1,14336,2016-10-01,2016,"FMWT 501",10,"Fall",8.30097726571195,NA,"501 2016-10-05"
"35","FMWT","411",38.06117,-122.06828,2016-10-05,2016-10-05 10:26:00,13.716,"Ebb",1,80,FALSE,17.8,17.6,20316,2016-10-01,2016,"FMWT 411",10,"Fall",12.1218517974454,NA,"411 2016-10-05"
"36","FMWT","405",38.03353,-122.15815,2016-10-05,2016-10-05 08:04:00,7.62,"Ebb",1,83,FALSE,17.3,17.3,27020,2016-10-01,2016,"FMWT 405",10,"Fall",16.5561555618688,NA,"405 2016-10-05"
